Names	total	elements
		R01717_c
		R04966_p
		R04162_c
		R04906_c
		R04955_c
		R04237_c
		R02095_c
		R03546_c
		R04740_x
		TCM20
		R04954_p
		R04544_c
		R01880_c
		R01652_c
		R06601_c
		EX_S_H2O_ext_b
		R02748_c
		R01005_c
		R01151_c
		EX_S_L_45_Serine_ext_b
		V0006
		TCP13
		EX_S_L_45_Glutamine_ext_b
		R01245_c
		R01395_c
		Bc23
		EX_S_hv_ext_b
		R01131_c
		TCP31
		R00408_m
		TCP2
		R03646_c
		Ex15
		R01736_c
		R02173_c
		R04954_c
		R02886_c
		R03845_c
		R01030_c
		EX_S_Orthophosphate_ext_b
		R01078N_c
		R00754_c
		R04961_c
		R00344_c
		R07377_c
		R04170_x
		Ex3
		R01548_c
		R03366_c
		R01433_c
		R01863_c
		R04543_c
		R00967_c
		Bc32
		R01057_c
		R01229_c
		R00968_c
		Bc19
		R04536_p
		R06868_c
		R04749_x
