Names	total	elements
		R02832_c
		R08178_c
		R02425_c
		R02282_c
		R00259_c
		R05196N_p
		R08182_c
		R02199_c
		R03223_c
		R00549_c
		R08177_c
		R01663_c
		R04313_c
		R02198_c
		R07760_c
		R02811_c
		R08181_c
		R05035_c
		R03269_c
		R05634_c
		R05070_c
		R08174_c
		R00216_p
		R04509_c
		R02157_c
		R01409_c
		R00582_c
		R08183_c
		R01209_c
		R03663_c
		R08179_c
		R05196N_c
		R04441_c
		R08176_c
		R01993_c
Camelina Cucumber Kiwi	8	R02061_c
		R05982_c
		R01658_c
		R01230_c
		R02003_c
		R03361_c
		R01231_c
		R08244_c
Camelina Cucumber Tomato	20	R07554_c
		R07530_c
		R07569_c
		R05983_c
		R07559_c
		R07568_c
		R07766_c
		Ex4
		R08233_c
		R02099_c
		R07562_c
		R07556_c
		R01397_c
		R07570_c
		R01567_c
		R07851_c
		R07769_c
		R07558_c
		R07561_c
		R07572_c
Camelina Kiwi Tomato	15	R05038_c
		R02735_c
		R03123_c
		R03636_c
		R07998_c
		R01252_c
		R07445_c
		R07452_c
		R07999_c
		R01602_c
		R07453_c
		R03057_c
		R07454_c
		R07430_c
		R00066_c
Camelina Cherry	44	R00511_c
		R01126_c
		R07002_c
		R07100_c
		R00963_c
		R07024_c
		R08280_c
		R07023_c
		R04134_c
		R07093_c
		R00183_c
		R06297_c
		R07990_c
		R07113_c
		R01664_c
		R00610_c
		R02323_c
		R07083_c
		R03522_c
		R07995_c
		TCP5
		R07069_c
		R06556_c
		R02088_c
		R06295_c
		R07116_c
		R02719_c
		TCP16
		R06294_c
		R01968_c
		R01227_c
		R07084_c
		R07004_c
		R07094_c
		R03940_c
		R03346_c
		R07003_c
		R07026_c
		R06296_c
		R07091_c
		R07070_c
		R07025_c
		R07092_c
		R02446_c
Camelina Cucumber	11	R07450_c
		R07457_c
		R07451_c
		R07455_c
		R02946_c
		R08120_c
		R08121_c
		R01051_c
		R00068_c
		R07458_c
		R02750_c
Camelina Kiwi	17	R05961_c
		R01104_c
		R02101_c
		R05549_c
		R02106_c
		R02926_c
		R03634_c
		R00936_c
		R01103_c
		R04019_c
		R02235_c
		R01329_c
		R01360_c
		R00937_c
		R00289_c
		R07981_c
		R04470_c
Camelina Tomato	11	R00132N_c
		R00132N_p
		R04326_c
		TCM4
		R00174_c
		R00132N_m
		R02493_c
		R01909_c
		R01801_c
		R00310_c
		TCX14
Cherry Kiwi	1	R00243_m
Cherry Tomato	2	R00966_c
		Ex2
Cucumber Kiwi	2	TCP9
		TCP7
Camelina	224	R06323_c
		R03194_c
		R03650_c
		R04928_c
		R02444_c
		R06543_c
		R01887_c
		R06322_c
		R08191_c
		R01716_c
		R03231_c
		R04457_c
		R06293_c
		R04671_c
		R06872_c
		R04097_c
		R07759_c
		R01560_c
		R04254_p
		R04547_c
		R02662_c
		R02360_c
		R00190_c
		R03093_c
		TCP10
		R05841_c
		R08055_c
		R03970_c
		R07447_c
		R01976_c
		R08238_c
		R04035_c
		R08187_c
		R03809_c
		R02160_c
		R01982_c
		R08054_c
		R04448_c
		R07993_c
		R06031_c
		R08245_c
		R02055_c
		R03126_c
		R02834_c
		R08184_c
		R07865_c
		R02245_c
		R05618_c
		R08221_c
		R07868_c
		R06541_c
		R06611_c
		R04804_c
		R04242_c
		R00122_c
		R00961_c
		R03640_c
		R08190_c
		R03348_c
		TCX10
		R02412_c
		R07489_c
		R01054_c
		R04658_c
		R07997_c
		R06860_c
		R00178_c
		R05979_c
		R06336_c
		R00335_c
		R05046_c
		R04639N_c
		R04254_c
		R02473_c
		R08076_c
		R03738_c
		R04513_c
		R08052_c
		R01687_c
		R07870_c
		R04037_c
		R03968_c
		R00942_c
		R02068_c
		R08273_c
		R02435_c
		R04777_c
		R07413_c
		R06291_c
		R03807_c
		R07449_c
		R06908_c
		R02158_c
		R05825_c
		R06035_c
		R00494_c
		R01819_c
		R03847_c
		R08075_c
		R02108_p
		R07996_c
		R07444_c
		R05097_c
		R05766_c
		R00944_c
		R08051_c
		R05586_c
		R08193_c
		R04378_c
		R06041_c
		R05662_c
		R00719_c
		R07874_c
		R00328_c
		R05591_c
		R05092_c
		R03008_c
		R02006_c
		R04839_c
		R08237_c
		R06414_c
		R07863_c
		R03542_c
		R05970N_c
		R07411_c
		R02756_c
		R07816_c
		R07779_c
		R03921_c
		R08032_c
		R04254_x
		R06337_c
		R06539_c
		R08186_c
		R06905_c
		R08189_c
		R06086_c
		R03083_c
		R05765_c
		TCX6
		R00615_c
		R05968_c
		R00548_c
		R01279_x
		R03418_c
		R04094_c
		R06085N_c
		R01942_c
		R00010_c
		R05074_c
		R00428_c
		R05039_c
		R04757_c
		R04361_c
		R07855_c
		R03971_c
		R07504_c
		R08266_c
		R07911_c
		R06542_c
		R06447_c
		R00332_c
		TCP23
		R03867_c
		TCP26
		R01132_c
		R06338_c
		R05972N_c
		R04858_c
		R01878_c
		R06537_c
		R06895_c
		R07763_c
		R04360_c
		R05032_c
		R08192_c
		R03075_c
		R08185_c
		R08165_c
		R03174_c
		R03635_c
		R00308_c
		R04254_m
		R06156_c
		R08082_c
		R00716_c
		R03806_c
		R06024_c
		R04592_c
		R08188_c
		R06292_c
		TCM3
		R06538_c
		TCM6
		R00502_c
		R01262_c
		R08002_c
		R06735_c
		R06326_c
		R06736_c
		R03509_c
		R02241_c
		R07409_c
		R00497_c
		R02313_c
		R02556_c
		R02086_c
		R00715_c
		R03323_c
		R03243_c
		Ex17
		R08053_c
		R05048_c
		R04935_c
		R07500_c
		R05027_c
		R00509_c
		R07429_c
		TCV3
		R02410_c
		R06170_c
		R03916_c
		R04241_c
		R07484_c
Cherry	1	R07856_c
Kiwi	1	R01639_c
Tomato	1	R07460_c
